training_losses;training_reconstruction_losses;training_kld_losses;validation_losses;validation_reconstruction_losses;validation_kld_losses
3.9326770031738283;0.162341546270065;3.7703354553222654;3.0849489318847656;2.9808508575439454;0.10409807958602905
2.7117516345214843;0.10121223566055298;2.610539393310547;2.437618618774414;2.3493282043457033;0.08829042234420777
2.3412453662109374;0.09921917602539063;2.242026193237305;2.230640295410156;2.132293850708008;0.09834644126892089
2.1957922747802736;0.10025434131622314;2.0955379388427735;2.1378381988525392;2.0353213150024416;0.10251688661575317
2.1283690740966796;0.10272292667388916;2.0256461489868163;2.089654234313965;1.983253125;0.106401113986969
2.092635570678711;0.10388769119262695;1.9887478848266602;2.0600607147216796;1.952565591430664;0.10749512538909912
2.0690956381225587;0.10477089040756225;1.964324744567871;2.042203810119629;1.9371192916870117;0.10508452415466309
2.0524844873046875;0.10592771453857422;1.9465567718505858;2.0267757019042967;1.9192978302001953;0.10747788009643555
2.0399671661376955;0.1062612187576294;1.9337059512329102;2.016306977844238;1.9062560256958008;0.11005095319747925
2.0299307928466797;0.10662645313262939;1.923304338989258;2.0084586318969726;1.901193783569336;0.10726484251022339
2.02242670501709;0.10735929071426392;1.9150674142456054;1.9995058349609376;1.8918201126098633;0.10768572111129761
2.015662522583008;0.10721689805984497;1.9084456246948243;1.9946805252075195;1.8834605026245117;0.11122002668380737
2.010827894287109;0.10750551191329956;1.9033223803710937;1.991958639526367;1.8830198532104492;0.10893879232406616
2.0066844830322266;0.10767929054260254;1.8990051953125;1.986318017578125;1.878027767944336;0.10829026336669922
2.0028794091796875;0.10800956254959107;1.8948698431396485;1.9768066329956056;1.8692028732299806;0.10760376291275024
1.9987785919189454;0.10811269403457642;1.890665891418457;1.9727661911010743;1.865909944152832;0.10685624675750732
1.9960811328125;0.10847513196945191;1.887606003112793;1.9730199966430664;1.8667934982299805;0.10622649612426757
1.9930677920532227;0.10844595514297485;1.8846218350219726;1.9695061996459962;1.8605257843017577;0.10898041791915894
1.9912032522583007;0.10852361364364624;1.882679641723633;1.9686854354858399;1.8590022247314453;0.10968320474624633
1.9876630050659179;0.10868700145721436;1.878976000366211;1.966927799987793;1.8597858383178711;0.10714196939468384
1.9855185256958008;0.10881553712844849;1.8767029913330078;1.9651648223876954;1.8553635192871094;0.10980130500793457
1.9843782055664063;0.10883749813079834;1.875540705871582;1.962510205078125;1.8524565124511718;0.11005368728637695
1.982834577331543;0.10894086099624634;1.873893712463379;1.953765660095215;1.8475480346679687;0.10621763162612916
1.9799128985595704;0.10915339073181152;1.8707595092773437;1.9607777618408204;1.8539205474853515;0.10685721788406372
1.9782823681640624;0.10930355325698853;1.8689788165283203;1.9597418350219726;1.8464895050048828;0.11325233297348022
